날짜,Open,High,Low,Close,Volume
2025-05-12,16860,20350,14560,14750,42739710
2025-05-13,15550,17100,14710,15560,14104725
2025-05-14,15800,17780,15160,16510,18934244
2025-05-15,16920,21450,16800,21450,25842912
2025-05-16,22300,23700,20300,21200,14372724
2025-05-19,21200,22950,19210,19930,5879845
2025-05-20,20200,20750,18350,18920,6964409
2025-05-21,18870,21100,18860,19720,8578646
2025-05-22,19730,21300,19500,19840,5352882
2025-05-23,20550,22150,17750,17830,7710201
2025-05-26,18000,19890,16970,18320,5414786
2025-05-27,18410,19200,18220,18650,2358341
2025-05-28,18830,20800,18150,18300,5198842
2025-05-29,18330,18770,17650,17790,982738
2025-05-30,18370,19190,17650,17650,2350955
2025-06-02,17530,17770,16970,16970,637335
2025-06-04,16970,17340,15520,15570,998456
2025-06-05,15570,16120,15080,15130,669012
2025-06-09,15020,15020,14100,14300,598517
2025-06-10,14500,18500,14330,17230,12518775
2025-06-11,16980,18780,16720,17090,4263040
2025-06-12,14850,16100,14480,15110,3918245
2025-06-13,15130,15150,14160,14180,1231872
2025-06-16,14120,14750,14010,14070,1204485
2025-06-17,14140,14750,13740,13770,1098077
2025-06-18,14850,16390,14170,14210,11132946
2025-06-19,14240,14570,13840,13990,1018687
2025-06-20,13960,14670,13910,13930,1192896
2025-06-23,13990,14500,13980,14270,923084
2025-06-24,14530,15390,14510,15110,2155051
2025-06-25,15280,15290,14480,14700,808254
2025-06-26,14880,16290,14650,15240,7198446
2025-06-27,15330,15960,15030,15600,1365940
2025-06-30,15750,16780,15400,16010,2803166
2025-07-01,16700,17400,16100,16270,1481383
2025-07-02,16440,16680,14970,15040,790001
2025-07-03,15050,19490,14840,19120,12284091
2025-07-04,18800,19030,17790,17990,2037214
2025-07-07,18250,18490,17300,17760,1353685
2025-07-08,17600,18250,17400,17890,972473
2025-07-09,18070,18090,17010,17280,694209
2025-07-10,17220,17660,17020,17400,615585
2025-07-11,18020,18050,17200,17440,643301
2025-07-14,17350,17440,16600,16620,403965
2025-07-15,16550,16860,16120,16750,477255
2025-07-16,17370,18350,16550,16890,2054564
2025-07-17,17280,17700,16940,17280,607270
2025-07-18,17400,17820,17030,17560,647164
2025-07-21,17310,17710,17040,17130,320701
2025-07-22,17210,17210,16410,16440,311493
2025-07-23,16560,16680,15820,15970,235130
2025-07-24,15930,16380,15840,16080,198007
2025-07-25,16180,16210,15700,15830,112831
2025-07-28,16770,16780,15950,16030,215856
2025-07-29,15970,15970,15560,15590,137603
2025-07-30,15580,15580,15090,15110,171595
2025-07-31,15120,15480,15050,15460,98049
2025-08-01,15210,16150,14550,15920,534011
2025-08-04,16580,16730,15860,15860,300925
2025-08-05,15970,16040,15710,15710,151092
2025-08-06,15550,15580,15200,15300,128322
2025-08-07,16310,17290,15600,15650,1483081
2025-08-08,15760,15790,15300,15420,170020
2025-08-11,15350,15400,15110,15110,126266
2025-08-12,15110,15200,14760,14820,250307
2025-08-13,15000,15420,14700,15350,232106
2025-08-14,15780,16400,15420,15500,505770
2025-08-18,15860,16630,15680,15850,745663
2025-08-19,15770,15970,15520,15610,195758
2025-08-20,15160,15330,14820,15020,159533
2025-08-21,15200,15200,14910,14930,76041
2025-08-22,14830,15080,14750,14770,165461
2025-08-25,14910,15070,14870,15020,106684
2025-08-26,14980,15080,14740,14890,97172
2025-08-27,14890,14930,14600,14850,100604
2025-08-28,14930,15080,14760,14830,95202
2025-08-29,14800,14880,14680,14690,93038
2025-09-01,14580,14580,14190,14200,121740
2025-09-02,14340,14620,14120,14500,83540
2025-09-03,14430,14800,14300,14680,156259
2025-09-04,14760,15420,14720,15200,371022
