symbol,market,name,rsi_d,macd_d,signal_d,obv_d,signal_obv_9d,signal_obv_20d,market_cap,avg_trading_value_20d,today_trading_value,turnover,per,eps,cap_status,upper_closes,lower_closes,sector,sector_trend,ma20,ma50,ma200,break_20high,close_d,close
003800,KR,에이스침대,"[52.62, 48.23, 54.21]","[509.4335, 409.4286, 390.2289]","[623.5151, 580.6978, 542.604]","[-144075.0, -189477.0, -177332.0]","[-169166.0, -170009.0, -167227.0]","[-195055.0, -200952.0, -203794.0, -206871.0]",346562500000.0,475614950.0,1418812500.0,0.004093958521190262,5.01,6243.0,2025-12-29,0,1,Consumer Discretionary,상승(+11.87%) TIGER 200 경기소비재,"[31130.0, 31042.5, 31060.0]","[29535.0, 29461.0, 29414.0]","[28102.75, 28072.25, 28046.5]",0,"[31250, 30450, 31000]",31250.0
001440,KR,대한전선,"[48.49, 44.75, 55.31]","[103.8142, 15.3626, 93.4661]","[211.0702, 171.9287, 156.2362]","[470917264.0, 464345209.0, 466103737.0]","[466860198.0, 467060959.0, 467369898.0]","[465547160.0, 465035638.0, 464954444.0, 464649790.0]",4428123375000.0,66160738150.0,156086306250.0,0.03524886120635697,58.07,409.0,2025-12-29,1,4,Utilities,상승(+4.10%) TIGER KRX 기후변화솔루션,"[22892.5, 22815.0, 22835.0]","[22741.0, 22617.4, 22537.4]","[16505.95, 16449.45, 16401.6]",0,"[23750, 21900, 22550]",23750.0
000490,KR,대동,"[47.46, 44.62, 56.72]","[50.9243, 25.7091, 47.1422]","[63.5242, 55.9612, 54.1974]","[88961968.0, 88682651.0, 88794052.0]","[88941191.0, 88981041.0, 89028572.0]","[88769417.0, 88749104.0, 88740401.0, 88728834.0]",263134800260.0,1172806782.5,2784790490.0,0.010583132627263233,0.0,0.0,2025-12-29,1,4,Industrials,상승(+9.19%) KODEX 산업재,"[9702.5, 9684.5, 9685.0]","[9623.6, 9621.0, 9625.6]","[10222.15, 10230.9, 10244.55]",0,"[9970, 9450, 9570]",9970.0
199820,KR,제일일렉트릭,"[39.89, 37.8, 57.61]","[-253.5363, -261.6086, -178.7979]","[-257.7367, -258.5111, -242.5684]","[334643445.0, 327357211.0, 327420040.0]","[328259513.0, 327489557.0, 327542069.0]","[327983077.0, 327654848.0, 327686832.0, 327712646.0]",216645000000.0,4491832962.5,71040781500.0,0.3279133213321332,21.01,464.0,2025-12-29,0,3,Industrials,상승(+9.19%) KODEX 산업재,"[9143.0, 9133.5, 9170.0]","[9797.2, 9808.6, 9849.2]","[9955.15, 9958.4, 9969.15]",1,"[9750, 8670, 8800]",9750.0
251370,KR,와이엠티,"[39.1, 41.18, 58.22]","[-317.8998, -312.508, -207.4003]","[-340.2389, -334.6927, -309.2342]","[2327226.0, 2116307.0, 2080663.0]","[2143998.0, 2130177.0, 2143638.0]","[2200698.0, 2193812.0, 2194124.0, 2198009.0]",214307961600.0,701548963.0,2564775040.0,0.011967707689680158,0.0,0.0,2025-12-29,2,3,Energy,상승(+10.51%) KODEX 에너지화학,"[11366.5, 11344.5, 11362.0]","[12073.0, 12104.2, 12156.0]","[10823.55, 10809.5, 10800.35]",1,"[12160, 10940, 10830]",12160.0
267270,KR,HD현대건설기계,"[43.76, 41.99, 58.86]","[357.4481, -79.97, 479.6593]","[1286.0831, 1012.8725, 906.2299]","[14777849.0, 14253496.0, 14466721.0]","[14769525.0, 14863477.0, 14989453.0]","[14655422.0, 14615814.0, 14608608.0, 14595533.0]",1813870558500.0,20044045820.0,54794888500.0,0.030208819611314067,18.68,5595.0,2025-12-29,1,2,Industrials,상승(+9.19%) KODEX 산업재,"[98960.0, 98425.0, 98495.0]","[98020.0, 97818.0, 97838.0]","[84284.0, 84146.5, 84066.0]",0,"[104500, 93200, 94400]",104500.0
079900,KR,전진건설로봇,"[47.1, 46.91, 59.23]","[346.3358, 228.9875, 417.6293]","[586.6154, 515.0898, 495.5977]","[112508923.0, 112305829.0, 112334689.0]","[112451284.0, 112479910.0, 112503543.0]","[112370351.0, 112354115.0, 112344946.0, 112338794.0]",732545759000.0,4330136827.5,10195318800.0,0.013917654528391037,22.44,2237.0,2025-12-29,1,2,Industrials,상승(+9.19%) KODEX 산업재,"[47920.0, 47792.5, 47837.5]","[46737.0, 46771.0, 46779.0]","[48692.25, 48736.75, 48797.0]",0,"[50200, 46650, 46700]",50200.0
022100,KR,포스코DX,"[61.09, 54.68, 60.62]","[619.636, 617.5879, 752.535]","[456.4588, 488.6847, 541.4547]","[98262775.0, 94822914.0, 96993039.0]","[95414336.0, 95006954.0, 94584972.0]","[93133558.0, 92708791.0, 92442613.0, 92081723.0]",4545838397100.0,50326827602.5,102851843900.0,0.02262549499463376,51.55,580.0,2025-12-29,3,2,Industrials,상승(+9.19%) KODEX 산업재,"[27450.0, 27225.0, 27072.5]","[26731.0, 26633.0, 26531.0]","[24536.0, 24510.5, 24481.0]",1,"[29900, 28100, 29450]",29900.0
036890,KR,진성티이씨,"[48.92, 48.92, 63.43]","[178.3791, 144.8314, 206.2419]","[225.5264, 209.3874, 208.7583]","[15731475.0, 15345979.0, 15345979.0]","[15536506.0, 15569458.0, 15611754.0]","[15415788.0, 15378918.0, 15363739.0, 15351654.0]",311981941680.0,1756305422.0,5458623360.0,0.017496600382078883,13.5,1049.0,2025-12-29,2,1,Industrials,상승(+9.19%) KODEX 산업재,"[13285.0, 13201.0, 13177.5]","[12939.2, 12913.8, 12912.8]","[11461.2, 11443.35, 11430.15]",0,"[14160, 13040, 13040]",14160.0
033240,KR,자화전자,"[59.65, 56.49, 68.48]","[839.0292, 794.9437, 990.6609]","[696.0857, 715.8573, 770.818]","[4720906.0, 4005666.0, 4136439.0]","[4157281.0, 4108050.0, 4160463.0]","[3258759.0, 3080581.0, 2942159.0, 2793593.0]",556969881600.0,6637979153.0,18310144000.0,0.03287456755722714,32.41,790.0,2025-12-29,2,0,Information Technology,상승(+4.98%) TIGER 200 IT,"[22022.0, 21629.5, 21388.5]","[21097.8, 21048.8, 21063.8]","[17038.15, 16977.05, 16932.45]",1,"[25600, 22600, 23050]",25600.0
