Date,Open,High,Low,Close,Volume
2024-04-23,20450,21350,20450,21200,41831
2024-04-24,22950,24400,22100,22300,312515
2024-04-25,22300,22750,21800,21850,48111
2024-04-26,22100,22950,22050,22600,61677
2024-04-29,24300,25250,24000,24150,383620
2024-04-30,26750,27800,25500,26100,1195204
2024-05-02,25600,26250,24800,25350,234303
2024-05-03,25350,25400,24400,24400,133569
2024-05-07,24750,25100,24450,24900,62319
2024-05-08,24600,25300,24300,24800,91502
2024-05-09,24400,24550,23500,23650,100247
2024-05-10,23500,23850,23150,23400,47106
2024-05-13,23200,23450,22900,23000,48395
2024-05-14,23250,23350,22950,23000,28020
2024-05-16,23000,23300,22650,23050,33341
2024-05-17,23100,23100,22450,22550,41203
2024-05-20,22600,23450,22600,22600,53662
2024-05-21,22600,22900,22450,22600,17889
2024-05-22,23300,25000,23000,23450,164059
2024-05-23,23450,24450,22900,24100,67805
2024-05-24,23850,24300,23500,23700,48868
2024-05-27,23700,23900,23200,23800,41280
2024-05-28,24800,24950,23850,23950,102499
2024-05-29,23700,23950,22900,23050,48006
2024-05-30,22900,23050,22150,22200,47876
2024-05-31,23350,23350,22200,22300,37711
2024-06-03,22450,22750,22150,22450,17910
2024-06-04,22250,22400,22000,22150,26575
2024-06-05,22200,23150,22050,22350,45089
2024-06-07,22600,22600,22150,22300,28323
2024-06-10,22100,22200,21700,21850,22172
2024-06-11,21700,22350,21600,21850,32685
2024-06-12,22350,22600,21900,22150,35995
2024-06-13,22200,23300,22100,23300,104957
2024-06-14,23600,23650,22300,22400,146363
2024-06-17,22100,22300,21350,21400,74647
2024-06-18,22250,22800,21650,21700,104213
2024-06-19,21750,22050,21500,21550,34908
2024-06-20,21550,21850,21500,21500,25835
2024-06-21,21300,21500,20950,21000,23773
2024-06-24,21000,21000,20450,20550,26807
2024-06-25,20450,21000,20400,20550,16562
2024-06-26,20600,21200,20600,20700,35791
2024-06-27,21000,21200,20600,20700,22093
2024-06-28,20500,20900,20350,20550,15276
2024-07-01,20800,21050,20550,21000,21833
2024-07-02,21050,22600,20950,21650,99935
2024-07-03,22500,23050,22100,22650,184841
2024-07-04,23600,23800,22850,23050,98774
2024-07-05,23300,23300,22500,22750,51024
2024-07-08,22750,23200,22600,22650,25946
2024-07-09,22350,23700,22250,23250,63514
2024-07-10,23750,24250,23150,23450,108054
2024-07-11,23950,24200,22700,22800,74207
2024-07-12,21800,22450,21200,21900,107649
2024-07-15,22200,22550,22200,22350,17504
2024-07-16,22350,22350,21400,21400,47950
2024-07-17,21400,21400,20650,20700,47338
2024-07-18,20350,20700,19850,20050,38513
2024-07-19,19910,20200,19900,20050,18914
2024-07-22,20000,20200,19510,19510,27913
2024-07-23,19510,20000,18980,19000,34408
2024-07-24,18900,19220,18700,18790,34042
2024-07-25,18480,18630,17600,17900,59498
2024-07-26,17800,18020,16850,16900,111838
2024-07-29,16890,17300,16650,17060,35611
2024-07-30,17020,17130,16650,16770,31128
2024-07-31,16670,16900,16390,16790,35393
2024-08-01,16790,17250,16790,17080,24412
2024-08-02,16710,16890,16100,16100,49865
2024-08-05,15700,15890,12010,13230,105709
2024-08-06,13230,14200,13230,13980,91083
2024-08-07,13820,14440,13820,14300,32426
2024-08-08,13920,14280,13670,13670,40520
2024-08-09,13730,14340,13730,14220,21213
2024-08-12,14220,15000,14220,14720,17575
2024-08-13,15250,15690,14360,14540,24928
2024-08-14,14700,15980,14700,15530,59239
2024-08-16,15980,15980,15540,15560,22889
2024-08-19,15420,15800,14870,15160,38044
2024-08-20,15160,16250,15160,16010,40340
2024-08-21,16230,16230,15730,16100,10366
2024-08-22,16060,16120,15820,16030,10227
2024-08-23,15550,16140,15550,16070,7809
2024-08-26,16040,16160,14700,15300,22517
2024-08-27,15110,15780,15110,15730,10725
2024-08-28,15730,15880,15230,15740,28245
2024-08-29,16230,17320,15790,15790,153171
2024-08-30,15640,15930,14790,15730,23850
2024-09-02,15760,16420,15760,15990,35168
2024-09-03,15960,16090,15630,15670,16156
2024-09-04,15250,15500,14500,14620,51365
2024-09-05,14620,15190,14000,14430,32948
2024-09-06,14870,18750,14870,17800,2829373
2024-09-09,16960,18940,16650,18010,2545521
2024-09-10,18090,18150,17100,17260,359707
