Date,Open,High,Low,Close,Volume
2024-04-22,0,0,0,3565,0
2024-04-23,0,0,0,3565,0
2024-04-24,0,0,0,3565,0
2024-04-25,0,0,0,3565,0
2024-04-26,0,0,0,3565,0
2024-04-29,0,0,0,3565,0
2024-04-30,0,0,0,3565,0
2024-05-02,0,0,0,3565,0
2024-05-03,0,0,0,3565,0
2024-05-07,0,0,0,3565,0
2024-05-08,0,0,0,3565,0
2024-05-09,0,0,0,3565,0
2024-05-10,0,0,0,3565,0
2024-05-13,0,0,0,3565,0
2024-05-14,0,0,0,3565,0
2024-05-16,0,0,0,3565,0
2024-05-17,0,0,0,3565,0
2024-05-20,0,0,0,3565,0
2024-05-21,0,0,0,3565,0
2024-05-22,0,0,0,3565,0
2024-05-23,0,0,0,3565,0
2024-05-24,0,0,0,3565,0
2024-05-27,0,0,0,3565,0
2024-05-28,0,0,0,3565,0
2024-05-29,0,0,0,3565,0
2024-05-30,0,0,0,3565,0
2024-05-31,0,0,0,3565,0
2024-06-03,0,0,0,3565,0
2024-06-04,0,0,0,3565,0
2024-06-05,0,0,0,3565,0
2024-06-07,0,0,0,3565,0
2024-06-10,0,0,0,3565,0
2024-06-11,0,0,0,3565,0
2024-06-12,0,0,0,3565,0
2024-06-13,0,0,0,3565,0
2024-06-14,0,0,0,3565,0
2024-06-17,0,0,0,3565,0
2024-06-18,0,0,0,3565,0
2024-06-19,0,0,0,3565,0
2024-06-20,0,0,0,3565,0
2024-06-21,0,0,0,3565,0
2024-06-24,0,0,0,3565,0
2024-06-25,0,0,0,3565,0
2024-06-26,0,0,0,3565,0
2024-06-27,0,0,0,3565,0
2024-06-28,0,0,0,3565,0
2024-07-01,0,0,0,3565,0
2024-07-02,0,0,0,3565,0
2024-07-03,0,0,0,3565,0
2024-07-04,0,0,0,3565,0
2024-07-05,0,0,0,3565,0
2024-07-08,0,0,0,3565,0
2024-07-09,0,0,0,3565,0
2024-07-10,0,0,0,3565,0
2024-07-11,0,0,0,3565,0
2024-07-12,0,0,0,7130,0
2024-07-15,0,0,0,7130,0
2024-07-16,0,0,0,7130,0
2024-07-17,0,0,0,7130,0
2024-07-18,0,0,0,7130,0
2024-07-19,0,0,0,7130,0
2024-07-22,0,0,0,7130,0
2024-07-23,0,0,0,7130,0
2024-07-24,0,0,0,7130,0
2024-07-25,0,0,0,7130,0
2024-07-26,0,0,0,7130,0
2024-07-29,0,0,0,7130,0
2024-07-30,0,0,0,7130,0
2024-07-31,0,0,0,7130,0
2024-08-01,0,0,0,7130,0
2024-08-02,0,0,0,7130,0
2024-08-05,0,0,0,7130,0
2024-08-06,0,0,0,7130,0
2024-08-07,0,0,0,7130,0
2024-08-08,0,0,0,7130,0
2024-08-09,0,0,0,7130,0
2024-08-12,0,0,0,7130,0
2024-08-13,0,0,0,7130,0
2024-08-14,0,0,0,7130,0
2024-08-16,0,0,0,7130,0
